Date;Open;High;Low;Close;Volume_Bitcoin;Volume_Currency;Weighted_Price
04.11.2016;684.84;707.67;681;702.82;5102.47;3554502.07;696.62
03.11.2016;742;745.19;670.32;685.22;12102.24;8620853.88;712.34
02.11.2016;726.6;742;717.32;742;4320.53;3133467.19;725.25
01.11.2016;697.04;737;695.38;726.6;6570.02;4746887.12;722.51
31.10.2016;697.1;706.97;683.6;697.01;4655.89;3246833.13;697.36
30.10.2016;711.1;711.78;691.49;697.23;3752.53;2630802.8;701.08
29.10.2016;685.91;717.99;684.89;711.13;4034.88;2839203.57;703.66
28.10.2016;684.68;687.23;677.05;685.91;3574.08;2446577.64;684.53
27.10.2016;674.63;685.89;665.59;684.71;4545.44;3090089.93;679.82
26.10.2016;651.97;677;651.69;675.11;6716.23;4466380.41;665.01
25.10.2016;649.03;657.58;643;651.97;6106.92;3982507.67;652.13
24.10.2016;648.71;652.25;640;648.6;4679;3027622.03;647.07
23.10.2016;654.52;656;647.51;648.74;2535.01;1651700.19;651.56
22.10.2016;628.99;656;628.57;654.52;4351.62;2812594.62;646.33
21.10.2016;628.05;632.36;627.5;629;3050.51;1919969.05;629.39
20.10.2016;627.84;630.22;625;628.89;2040.01;1280448.68;627.67
19.10.2016;635.95;638.04;624.13;627.98;4472.9;2824080.05;631.38
18.10.2016;636.96;637.8;631.52;635.95;2731.18;1735476.56;635.43
17.10.2016;638.97;639.99;632.1;636.91;3958.04;2516207.28;635.72
16.10.2016;635.26;641.4;635.18;638.97;1289.54;823539.55;638.63
15.10.2016;638.2;642;635.25;635.96;1421.85;908251.54;638.78
14.10.2016;635.16;639.99;630.45;638.2;3154.82;2003219.14;634.97
13.10.2016;634.5;636;630;634.02;2381.5;1510988.67;634.47
12.10.2016;638.3;640;628.76;634.5;2658.53;1690227.11;635.78
11.10.2016;616.37;639;614.56;639;8087.32;5100218.35;630.64
10.10.2016;612.12;616.47;612.12;616;2295.52;1410892.89;614.63
09.10.2016;614.34;614.98;610;613.06;1174.26;719904.66;613.07
08.10.2016;614.88;616.99;612.5;614.34;888.66;546015.41;614.43
07.10.2016;610.25;616.34;607.52;614.88;4033.82;2468265.95;611.89
06.10.2016;608.01;610.5;607.09;610.25;2039.82;1242954.86;609.35
05.10.2016;607.19;612;605.76;608.49;2410.93;1469331.48;609.45
04.10.2016;612.84;612.84;604.99;607.19;2955.42;1795599.85;607.56
03.10.2016;608.6;612.98;606.6;611.16;2245.89;1370270.02;610.12
02.10.2016;612.98;613;605;608.6;1407.06;856141.65;608.46
01.10.2016;608.23;614.28;608.23;612.98;1458.84;892033.66;611.47
30.09.2016;605.59;608.39;603.15;608.23;2633.44;1593409.04;605.07
29.09.2016;603.93;605.99;601;605.6;2718.02;1641055.44;603.77
28.09.2016;605.07;605.3;601.41;603.95;2202.75;1329117.2;603.39
27.09.2016;606.7;608.37;600.02;604.26;3055.82;1846161.51;604.15
26.09.2016;598.95;607.27;596.1;606.47;4056.39;2444753.79;602.69
25.09.2016;600.05;601.99;596;598.98;1086.84;650928.91;598.92
24.09.2016;600.47;603.59;597.76;599.33;1140.23;685185.08;600.92
23.09.2016;595.42;602.9;593;601.42;4007.88;2394294.73;597.4
22.09.2016;595.46;596.42;592.5;595.41;2421.45;1440643.03;594.95
21.09.2016;600.85;601.01;592.1;595.46;3671.19;2184063.91;594.92
20.09.2016;608.73;608.88;600.94;600.94;2680.45;1625919.57;606.59
19.09.2016;608;609.5;603;608.72;2476.59;1504205.84;607.37
18.09.2016;602.93;609.06;601.97;608;1307.06;792167.99;606.07
17.09.2016;607.04;607.59;601.1;604.1;1117.49;674972.58;604.01
16.09.2016;606.65;608.99;603.5;605.69;2612.88;1585218.43;606.69
15.09.2016;608.5;608.99;602.3;606.71;3085.67;1870525.59;606.2
14.09.2016;607.45;610.69;605.98;608.5;2895.46;1761472.1;608.36
13.09.2016;606.4;609.61;603.28;607.46;3471.53;2106487.11;606.79
12.09.2016;604.08;609.15;602;608.04;3512.28;2126936.02;605.57
11.09.2016;621.65;628.99;594.63;606.32;5336.95;3240280.33;607.14
10.09.2016;622.01;625;618.67;621.65;1527.84;950617.06;622.2
09.09.2016;625.67;627.49;612.93;622.01;3274.08;2031926.21;620.61
08.09.2016;614.44;628.98;611.66;625.67;4354.95;2710494.38;622.39
07.09.2016;608.93;615.92;604.7;615.16;4502.71;2749975.14;610.74
06.09.2016;604.98;609.74;601;608.16;4038.34;2447636.44;606.1
05.09.2016;605.72;607.31;592.46;603.48;3838.18;2307087.14;601.09
04.09.2016;596.25;609.05;590.88;603.72;3951.2;2374456.19;600.95
03.09.2016;572;598.64;569.01;595.01;4645.78;2709470.38;583.21
02.09.2016;571.05;574.2;567.03;572;2996.65;1711339.75;571.08
01.09.2016;570.75;572.86;566.86;571.05;2833.21;1614962.02;570.01
31.08.2016;575.88;576.49;568.4;570.75;3917.83;2238453.98;571.35
30.08.2016;570.74;576.5;568.55;575.91;4439.35;2549324.68;574.26
29.08.2016;573.2;575;568.6;571.5;2333.01;1337424.15;573.26
28.08.2016;567.51;573.34;566.8;573.2;1034.08;589949.31;570.51
27.08.2016;577.92;579.09;564.81;568.31;2702.58;1540115.46;569.87
26.08.2016;575.75;582.46;574.1;578.78;3300.3;1906954.64;577.81
25.08.2016;577.65;578.75;571.16;575.71;4231.41;2432466.9;574.86
24.08.2016;580.27;582.1;575.4;577.58;2991.01;1731521.18;578.91
23.08.2016;582.78;584.99;576;580.23;4182.05;2429199.91;580.86
22.08.2016;577.55;585.95;572.5;582.78;5086.06;2950211.77;580.06
21.08.2016;577.7;583.99;576.01;577.55;1139.76;659564.96;578.69
20.08.2016;572.98;581.02;568.52;577.88;2431.79;1399905.47;575.67
19.08.2016;571.51;574.86;552.3;572.91;4652.01;2653115.88;570.32
18.08.2016;570.91;575.87;568.79;571.49;3967.28;2271526.87;572.56
17.08.2016;574.95;577.86;566.02;570.91;4108.6;2348397.53;571.58
16.08.2016;564.2;579.8;563;574.99;4837.19;2766616.06;571.95
15.08.2016;568.76;573.69;554.9;565.55;4633.75;2618493.49;565.09
14.08.2016;583.54;583.92;556.24;568.76;4812.89;2748170.07;571
13.08.2016;585.34;589.98;581.71;583.52;962.3;563625.08;585.7
12.08.2016;585.25;591.19;580.47;585.91;2177.38;1276363.86;586.19
11.08.2016;590.46;597.78;585.22;585.22;2543.68;1504308.96;591.39
10.08.2016;582.71;603;580.01;590.27;5217.76;3093831.6;592.94
09.08.2016;591.85;591.85;579.43;582.75;3174.71;1856560.62;584.8
08.08.2016;592.47;594;583.58;591.88;3181.85;1876919.92;589.88
07.08.2016;589.47;598.82;582.12;592.47;2910.31;1720291.73;591.1
06.08.2016;572.98;592;562.56;589.48;6021.31;3470953.45;576.45
05.08.2016;578.14;578.2;562;572.5;4811.24;2744096.47;570.35
04.08.2016;563.99;583.97;552;576.13;8499.84;4849529.14;570.54
03.08.2016;540;572.34;521;563.42;15453.59;8476073.71;548.49
02.08.2016;606.84;613.03;465.28;540;22142.67;12122476.93;547.47
01.08.2016;622.5;630;603.63;606.35;5512.82;3399251.95;616.61
31.07.2016;654.02;654.71;614.97;623.83;4933.62;3125805.15;633.57
30.07.2016;654.88;657.5;652.19;654.67;719.16;470912.14;654.81
29.07.2016;654.84;657.48;653;654.61;1297.15;848986.16;654.5
28.07.2016;655.13;657.89;652.41;653.07;1909.24;1249934.3;654.68
